userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language
94c383089f0dd9993020276bd01113ecb5935ad860bfa61e6079e7d548577f76,94c383089f0dd9993020276bd01113ecb5935ad860bfa61e6079e7d548577f76,94c383089f0dd9993020276bd01113ecb5935ad860bfa61e6079e7d548577f76,USA,Conservative. Politics. Pro-Life. Writer.  #GodBlessAmerica #WakeUpAmerica #InGodWeTrust,,1541,1676,2014-06-13,en
799bb58d3c064d3884fdc4604c74068ff059b60c0b34642621c6f638fb436f6d,799bb58d3c064d3884fdc4604c74068ff059b60c0b34642621c6f638fb436f6d,799bb58d3c064d3884fdc4604c74068ff059b60c0b34642621c6f638fb436f6d,Раша,На воре и шапка горит,,299,324,2013-12-22,en
0d33d19fbadccaad0033a0a0d6ec7f9919e21da60ea95819144902bf26a40f5b,0d33d19fbadccaad0033a0a0d6ec7f9919e21da60ea95819144902bf26a40f5b,0d33d19fbadccaad0033a0a0d6ec7f9919e21da60ea95819144902bf26a40f5b,"Чеченская республика, Россия",Я никогда не хотел стать президентом. У меня всегда была мечта стать героем нации.  Аккаунт-поддержка главы ЧР,,4094,0,2016-11-25,ru
efbe6ab452cf84134d5e7764cc1ce176067c8224fd8868b0d10eb4284c26fb43,efbe6ab452cf84134d5e7764cc1ce176067c8224fd8868b0d10eb4284c26fb43,efbe6ab452cf84134d5e7764cc1ce176067c8224fd8868b0d10eb4284c26fb43,US,❥ ❣ my sweethearts)),,140,191,2013-08-11,en
d1e5ee3856d4af872b7bb31638fb86fa0a8ee3287d8ca8aa23db9f9278186be6,d1e5ee3856d4af872b7bb31638fb86fa0a8ee3287d8ca8aa23db9f9278186be6,d1e5ee3856d4af872b7bb31638fb86fa0a8ee3287d8ca8aa23db9f9278186be6,,,,119,1152,2016-07-06,de
2f5ad32f93141c6ba7f020e8a343f6c4df907bf0dd1f31beacfcea65a27f82ab,2f5ad32f93141c6ba7f020e8a343f6c4df907bf0dd1f31beacfcea65a27f82ab,2f5ad32f93141c6ba7f020e8a343f6c4df907bf0dd1f31beacfcea65a27f82ab,,,,0,41,2017-02-13,en
28a6f340285e1bc7b455d82526ac356294c998e76d1118f381c9c6b712c39622,28a6f340285e1bc7b455d82526ac356294c998e76d1118f381c9c6b712c39622,28a6f340285e1bc7b455d82526ac356294c998e76d1118f381c9c6b712c39622,USA,Start where you are. Use what you have.  Do what you can.,,108,109,2013-08-21,en
50d23d6cc469022cbd45d29ffcf6bcc5be4e6c31a60aaffb90841e193c11f799,50d23d6cc469022cbd45d29ffcf6bcc5be4e6c31a60aaffb90841e193c11f799,50d23d6cc469022cbd45d29ffcf6bcc5be4e6c31a60aaffb90841e193c11f799,USA,,,27,128,2014-05-20,en
40c69d0d189a365ceeee51c9bc039fcab3abe57447c7296427e083bc2a8a8ae5,40c69d0d189a365ceeee51c9bc039fcab3abe57447c7296427e083bc2a8a8ae5,40c69d0d189a365ceeee51c9bc039fcab3abe57447c7296427e083bc2a8a8ae5,"Camden, NJ",#Camden #CamdenNewJersey #NewJersey #USA #America #US #CamdenEvents #CamdenNews,,3864,4198,2015-03-14,en
4ce989327c4d6317918452ca868be2b9e7363bfdb80ea8630ac06c1690ca80e9,4ce989327c4d6317918452ca868be2b9e7363bfdb80ea8630ac06c1690ca80e9,4ce989327c4d6317918452ca868be2b9e7363bfdb80ea8630ac06c1690ca80e9,Dallas,,,6,3,2014-06-17,en
