"tweet_text", "sentiment"
"RT @CarlaChamorros: One very fine interview with Donald, listen:  Trump: Press Is 'Starting to Like Me' https://t.co/rgQ7mRc7Y3",positive
New poll shows Trump lead intact after criticism of Megyn Kelly: Donald Trump in the news: An online... http://t.co/LVhrFMWIpD #politics,positive
RT @RunSpotsRun: Stupid Iraq is bleeding from its wherever. People are saying nuke them Bigly and take their oil!#ProbableTrumpsTweets,negative
RT @hrtablaze: Shout Out to #California Trumpsters ! I know how it feels to be in a state that hates everything we love.  Respect ! 👊  #Thu…,positive
"RT @nia4_trump: Brittany Herring &amp; her thug friends live stream violent kidnapping/torture on FB, the feed was up for over 30 mins! https:/…",negative
RT @The_Trump_Train: Jill Stein is now refusing to pay the amount required for a recount putting the burden on taxpayers. A total and compl…,negative
RT @nocount23: @businessinsider @realDonaldTrump this is one of the globalist they always want war world banks make money,neutral
Can't blame @realDonaldTrump for blocking you!  You're a person of rare intelligence. It's rare when you show any. https://t.co/L0c9YaqEqH,negative
RT @latinaafortrump: Fascinating how the left loves to constantly berate such a successful accomplished woman on the right. They're hypocri…,negative
"RT @GretchenInOK: FBI Deputy Director MUST BE FIRED, too! @realDonaldTrump @AGJeffSessons  https://t.co/rmfUHHI9ME",negative
"RT @SmallBiz4Trump: #CNNBlackmail tweets are coming fast and furious, @Jack and @Twitter banning it from trending list. smh😡😡😡 https://t.co…",negative
🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸 President Trump will make America great again! #AmericaFirst #MakeAmericaGreatAgain #MAGA 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸 https://t.co/lcJMa4z6YX,positive
"RT @KLSouth: My hope is that #Trump has the balls to decimate the media, communists in #Congress, Academia, the Federal “judiciary” and Fed…",positive
RT @GuyChicago5151: Our support for President Trump should be unconditional- in relationships we might disagree with our partner but that d…,positive
"RT @LaraLeaTrump: 1 week from today,all the hard work, the people who called us crazy, laughed at us &amp; thought that there was no shot, it w…",negative
RT @ZiffyKat: @realDonaldTrump The liberal wannabe comedians who post under all your tweets are just wasting their time. We know you're mak…,positive
RT @Trumpocrats: @TallahForTrump @tariqnasheed I'm beside myself by his hate for America and how we have done so much to free an entire rac…,negative
RT @TrumpInaugural: JOIN US and @TobyKeithMusic THURSDAY at the Make America Great Again Welcome Celebration! #MAGA #TrumpInaugural https:/…,positive
RT @realDonaldTrump: Sen. McCain should not be talking about the success or failure of a mission to the media. Only emboldens the enemy! He…,negative
"RT @rafshmatko: Exclusive Collection - #DonaldTrump, the US President - #LongSleeveTees  #teespring #tshirt #fashion #gifts https://t.co/Dw…",neutral
"RT @TheTrumpLady: NEW! AUG MAP via @StatesPoll: Trump will win in a landslide=&gt;He has the momentum, the stamina &amp; the American people! http…",positive
RT @ScottPresler: I'm out for a run with my Trump keeps promises sign and I just saved a turtle from being in the road. 🐢 https://t.co/lT3O…,positive
RT @DonaldJTrumpJr: Life is hard; it’s even harder when you’re stupid. https://t.co/rpS7svtfvf,negative
RT @TheMeemStreams: BREAKING‼️ #realdonaldtrump seen putting #RUSSIAN DRESSING ON HIS SALAD 🥗 😂😂 #fakenews @CNN #russiagate #DeepStateGate…,negative
RT @realDonaldTrump: Working hard to get the Olympics for the United States (L.A.). Stay tuned!,positive
RT @crashgear: @Pieter_Gericke @realDonaldTrump @CNN See this is how they control Liberals. From the Toilet to the Brain!! Sheeple!!,negative
RT @foxandfriends: .@mgoodwin_nypost: President-elect Trump's win proves biased media need to change https://t.co/ZEAmzIVzHR https://t.co/j…,positive
RT @ANOMALY1: 🚨ALERT🚨DISGRACE!! @Twitter #Suspends @TEN_GOP One of Greatest Trump Supporter on #Twitter‼️ https://t.co/sqDwGY3KeQ,negative
"RT @GOPin2020: @realDonaldTrump DOJ confiscated all Comey's tapes, files, computers when Trump fired him.  Comey boxed in, cannot lie becau…",negative
RT @kitten_nc: Watch: American Urban Radio's April Ryan Accuses Trump of Saying White People 'Made' America - Breitbart https://t.co/sqTJ6D…,negative
RT @Scavino45: What #CoSGenKelly hears President @realDonaldTrump often say (and to the group many times) re: nuclear weapons.... https://t…,neutral
#adsnn Insane Dictator’s Son THREATENS to “Take the White House” from Trump https://t.co/HeJgUvnund #adns https://t.co/aqMNEjN1rV,negative
"Former Nixon White House counsel John Dean: ""Trump is Nixon on steroids and stilts"".",negative
RT @Bane1349: I Loved watching that Major Asshole from CBS BLOW a 100 Amp Fuse Live On Air.  His Hatred of Mr Trump was palpable https://t.…,positive
"Donald Trump leads Ted Cruz, John Kasich by 15 points in N.H.: poll #ABCNews  #ABCGOPDebate",neutral
RT @thepoliticalcat: Trump is reiterating some of the most dangerous lines from previous years &amp; revolting movements like his own. :P https…,negative
